UF,nome,PIB,Pop_est_2009,PIB_percapita
RIO GRANDE DO NORTE,Carnaubais,54461.640625,9712,5607.66015625
MINAS GERAIS,Varzelândia,78314.7890625,19771,3961.09008789
RONDÔNIA,Colorado do Oeste,212184.0,17822,11905.73046875
PARAÍBA,Picuí,78050.453125,19359,4031.73999023
RIO GRANDE DO SUL,Erval Seco,92426.96875,8196,11277.08007812
PARANÁ,Pato Bragado,54275.8828125,4947,10971.46972656
MINAS GERAIS,Silvianópolis,61481.84765625,6261,9819.80957031
SÃO PAULO,Buri,246487.109375,18146,13583.54980469
RIO GRANDE DO NORTE,Janduís,25795.89648438,5562,4637.87988281
CEARÁ,Milagres,104356.4375,28077,3716.79003906
GOIÁS,Mimoso de Goiás,29721.85351562,2941,10106.04003906
SANTA CATARINA,Águas Frias,56920.30078125,2641,21552.56054688
MARANHÃO,Governador Nunes Freire,82837.78125,24520,3378.37988281
PIAUÍ,Caxingó,19456.99414062,5270,3692.0300293
RIO DE JANEIRO,Comendador Levy Gasparian,150088.640625,8839,16980.26953125
PARANÁ,Guaíra,327709.34375,29664,11047.37988281
BAHIA,Santana,116221.203125,27259,4263.58984375
MINAS GERAIS,Mercês,54027.89453125,10902,4955.77978516
SÃO PAULO,Joanópolis,133914.796875,11169,11989.86035156
RIO DE JANEIRO,Sumidouro,206854.375,15313,13508.41992188
MINAS GERAIS,Morada Nova de Minas,76796.5234375,8750,8776.75
SANTA CATARINA,Modelo,48248.37109375,3862,12493.11035156
SÃO PAULO,Presidente Bernardes,147201.09375,15382,9569.70019531
BAHIA,Santo Amaro,307409.65625,58387,5265.04003906
PIAUÍ,Canavieira,14949.34375,4093,3652.41992188
RIO GRANDE DO SUL,Catuípe,153886.890625,9611,16011.54003906
MARANHÃO,São João do Soter,46917.0703125,17326,2707.89990234
PIAUÍ,Demerval Lobão,35422.94140625,13232,2677.07006836
ACRE,Manoel Urbano,61478.73046875,7505,8191.70019531
GOIÁS,Ipameri,455039.1875,24021,18943.390625
RIO GRANDE DO SUL,Palmares do Sul,176851.203125,11998,14740.05957031
SERGIPE,São Domingos,49973.58984375,10555,4734.58984375
SÃO PAULO,Anhumas,37064.9296875,3947,9390.66015625
TOCANTINS,Santa Rita do Tocantins,32751.5625,2377,13778.53027344
AMAZONAS,Rio Preto da Eva,216235.546875,26847,8054.37011719
SERGIPE,Japoatã,77486.8359375,14027,5524.12011719
PARÁ,Capitão Poço,160230.15625,52797,3034.83007812
RIO GRANDE DO SUL,Lagoa Vermelha,408302.03125,28236,14460.33984375
SÃO PAULO,Braúna,40781.84375,5043,8086.81982422
PARÁ,Prainha,109358.3515625,26570,4115.85986328
PARAÍBA,Rio Tinto,135686.15625,23788,5703.97021484
MINAS GERAIS,Nova Belém,27054.96875,3532,7659.95996094
SERGIPE,Santo Amaro das Brotas,67334.578125,12140,5546.50976562
PARANÁ,Cruzeiro do Iguaçu,41468.546875,4225,9815.04003906
MARANHÃO,Igarapé Grande,44660.359375,11121,4015.86010742
RIO GRANDE DO SUL,São Paulo das Missões,76172.8046875,6767,11256.50976562
RIO GRANDE DO SUL,Colinas,28712.453125,2470,11624.46972656
RIO DE JANEIRO,Laje do Muriaé,75228.75,7997,9407.12011719
MINAS GERAIS,Nazareno,90727.484375,8096,11206.45996094
PERNAMBUCO,Águas Belas,151340.671875,39672,3814.80004883
SÃO PAULO,Santa Cruz da Esperança,31603.69140625,1733,18236.41015625
PERNAMBUCO,Tamandaré,112841.03125,18999,5939.31005859
MINAS GERAIS,Coronel Xavier Chaves,26762.91796875,3303,8102.60986328
PERNAMBUCO,Santa Maria da Boa Vista,234438.703125,41745,5615.97021484
RIO GRANDE DO SUL,Sério,26267.9765625,2387,11004.59960938
MINAS GERAIS,Desterro do Melo,20436.48242188,3302,6189.12011719
SANTA CATARINA,Chapadão do Lageado,47381.171875,2882,16440.38085938
ALAGOAS,Mata Grande,70679.9765625,25309,2792.67993164
PARÁ,Monte Alegre,253144.65625,63941,3959.04003906
MINAS GERAIS,Guimarânia,77487.75,7322,10582.87011719
PIAUÍ,Esperantina,133921.484375,37520,3569.34008789
MATO GROSSO DO SUL,Ponta Porã,821485.875,75941,10817.41992188
PARÁ,Palestina do Pará,30205.0859375,7301,4137.12011719
MARANHÃO,Santana do Maranhão,37810.55078125,11170,3385.01000977
TOCANTINS,Luzinópolis,16670.63671875,2959,5633.87011719
RIO GRANDE DO SUL,Triunfo,5378394.5,25374,211964.796875
MINAS GERAIS,Caranaíba,17252.89257812,3553,4855.87011719
GOIÁS,Posse,189625.765625,31257,6066.66992188
MARANHÃO,Maranhãozinho,56887.16796875,12684,4484.95019531
TOCANTINS,Esperantina,39419.8515625,8445,4667.83007812
ALAGOAS,Messias,62115.51171875,15899,3906.87988281
CEARÁ,Nova Russas,120630.0703125,32016,3767.81005859
PARANÁ,Chopinzinho,249832.0,19517,12800.74023438
BAHIA,Irará,126903.78125,25811,4916.64990234
SÃO PAULO,Ouroeste,565069.375,7598,74370.8125
PARÁ,Bom Jesus do Tocantins,63053.15234375,13593,4638.64990234
CEARÁ,Cariré,64836.63671875,19132,3388.90991211
PARAÍBA,Bom Jesus,9674.91992188,2305,4197.35986328
CEARÁ,Itapipoca,530908.0625,114441,4639.14013672
PARANÁ,Porto Amazonas,50780.390625,4348,11679.01953125
SANTA CATARINA,Passo de Torres,51858.28125,5690,9113.9296875
TOCANTINS,Pequizeiro,39278.328125,4971,7901.49023438
MINAS GERAIS,Rodeiro,83837.4140625,6589,12723.83984375
MINAS GERAIS,Paraisópolis,275498.9375,18844,14619.98046875
MARANHÃO,São Pedro dos Crentes,27159.71875,4144,6553.99023438
MINAS GERAIS,Rochedo de Minas,16518.8828125,2137,7729.93994141
SANTA CATARINA,Major Gercino,35983.98046875,2869,12542.33984375
BAHIA,Ibirataia,104637.359375,24544,4263.25976562
PARANÁ,Astorga,252335.984375,25164,10027.66015625
RIO DE JANEIRO,Rio de Janeiro,175739344.0,6186710,28405.94921875
PIAUÍ,Oeiras,152384.3125,36293,4198.72021484
SÃO PAULO,Monte Mor,1123404.75,46641,24086.2109375
RIO GRANDE DO SUL,Panambi,782521.625,38794,20171.19921875
MINAS GERAIS,Engenheiro Navarro,36794.828125,7315,5030.04980469
PIAUÍ,Curral Novo do Piauí,14465.60644531,5119,2825.87011719
BAHIA,Xique-Xique,183536.203125,47470,3866.36010742
RIO GRANDE DO SUL,Coronel Barros,42935.8203125,2522,17024.50976562
GOIÁS,Hidrolina,34949.49609375,4195,8331.23046875
MARANHÃO,Peritoró,55433.60546875,19817,2797.2800293
PIAUÍ,Lagoa de São Francisco,17828.19921875,6796,2623.34008789
PARANÁ,Campo Magro,176644.953125,23607,7482.74023438
MINAS GERAIS,Raul Soares,150141.8125,24606,6101.83984375
MATO GROSSO,Paranaíta,139865.96875,12113,11546.76953125
MINAS GERAIS,Pescador,26321.71875,4197,6271.56005859
AMAZONAS,Coari,1103350.125,66991,16470.11914062
PERNAMBUCO,Paulista,1839665.75,319373,5760.24023438
ESPIRITO SANTO,Linhares,2314608.25,132664,17447.15039062
RIO GRANDE DO SUL,Maratá,41028.81640625,2542,16140.37011719
RIO GRANDE DO SUL,Itatiba do Sul,41907.8359375,4521,9269.58984375
RIO GRANDE DO NORTE,Monte Alegre,93939.8125,21448,4379.89013672
PARANÁ,Rondon,168663.46875,9465,17819.69921875
SERGIPE,Canhoba,21683.1015625,4025,5387.10986328
SÃO PAULO,São Bento do Sapucaí,91414.5625,10966,8336.1796875
MINAS GERAIS,Cabeceira Grande,130424.5234375,6600,19761.2890625
PARANÁ,Lobato,131726.28125,4405,29903.81054688
PIAUÍ,Flores do Piauí,16121.22167969,4615,3493.2199707
RIO GRANDE DO SUL,Eldorado do Sul,651200.6875,33668,19341.83007812
SANTA CATARINA,Ascurra,89889.0078125,6945,12942.98046875
RIO GRANDE DO SUL,São José do Herval,23923.03320312,2549,9385.25976562
PIAUÍ,Tanque do Piauí,12196.9140625,2714,4494.06982422
PARAÍBA,Malta,22847.53320312,5800,3939.22998047
MATO GROSSO,Ipiranga do Norte,343376.0,4641,73987.5078125
CEARÁ,Granja,164077.84375,53952,3041.17993164
MINAS GERAIS,Senhora de Oliveira,30052.00976562,5873,5116.97998047
RIO GRANDE DO SUL,Redentora,69031.109375,10170,6787.72021484
MINAS GERAIS,Presidente Olegário,244568.890625,18989,12879.5
ESPIRITO SANTO,São Domingos do Norte,88457.796875,8205,10780.95996094
MATO GROSSO,Lucas do Rio Verde,1809788.125,33556,53933.37109375
PIAUÍ,São Miguel da Baixa Grande,7714.59814453,2153,3583.18994141
ALAGOAS,Taquarana,67490.1875,18848,3580.76000977
PARANÁ,Janiópolis,80220.6484375,6983,11487.99023438
BAHIA,Rio de Contas,55162.2109375,13816,3992.62988281
RONDÔNIA,Ji-Paraná,1401586.375,111010,12625.76953125
CEARÁ,Martinópole,30235.43359375,11118,2719.5
GOIÁS,Aparecida de Goiânia,4601373.0,510770,9008.70019531
SÃO PAULO,Limeira,5752286.0,281583,20428.38085938
SANTA CATARINA,Porto União,281775.84375,33408,8434.37988281
BAHIA,Camacan,147744.5625,31113,4748.64013672
MINAS GERAIS,Heliodora,56588.3671875,6295,8989.41992188
SÃO PAULO,Socorro,400702.0625,34447,11632.41992188
TOCANTINS,Xambioá,117627.1328125,11099,10597.99023438
ESPIRITO SANTO,Águia Branca,94435.375,9503,9937.4296875
RIO GRANDE DO SUL,Três de Maio,417949.59375,23893,17492.55078125
RIO GRANDE DO SUL,Colorado,92533.3671875,3771,24538.15039062
BAHIA,Nova Soure,79305.59375,26874,2951.02001953
MATO GROSSO DO SUL,Amambai,355782.875,34986,10169.29003906
BAHIA,Canápolis,32292.515625,11136,2899.83007812
TOCANTINS,Divinópolis do Tocantins,49289.7421875,6623,7442.20996094
PARANÁ,Farol,60915.0390625,3354,18161.91015625
AMAPÁ,Itaubal,32050.08203125,3650,8780.83984375
SÃO PAULO,Rio Claro,4522812.5,191886,23570.31054688
PARANÁ,Rebouças,100907.65625,14637,6894.00976562
MATO GROSSO,Nova Olímpia,231758.859375,20944,11065.63964844
BAHIA,Saubara,58806.34765625,11632,5055.56982422
BAHIA,Contendas do Sincorá,18747.91796875,3886,4824.47998047
MINAS GERAIS,Cordisburgo,64878.32421875,9465,6854.54980469
SÃO PAULO,Bofete,116283.3046875,9375,12403.54980469
PARANÁ,Guaratuba,301245.90625,32806,9182.65039062
BAHIA,Morpará,34771.55859375,8871,3919.68994141
BAHIA,Pau Brasil,41465.12109375,12342,3359.67993164
BAHIA,São Desidério,981035.875,27513,35657.1796875
MINAS GERAIS,Guanhães,258099.421875,30638,8424.16015625
SÃO PAULO,Tupã,926208.5,64098,14449.87988281
MINAS GERAIS,Gouveia,77429.0859375,11927,6491.91992188
MINAS GERAIS,Itanhandu,181915.40625,15253,11926.53027344
BAHIA,Aurelino Leal,57520.3515625,14280,4028.04003906
PARANÁ,Rio Branco do Ivaí,42996.23828125,4006,10732.95996094
SÃO PAULO,Cerqueira César,242703.625,17337,13999.16992188
CEARÁ,Hidrolândia,76112.5234375,19252,3953.48999023
MATO GROSSO,Vera,234282.15625,9502,24656.08984375
PARÁ,Mãe do Rio,144473.65625,29087,4966.95019531
MINAS GERAIS,Novo Cruzeiro,112729.171875,31319,3599.38989258
PARAÍBA,Caiçara,30622.7109375,7535,4064.06005859
PIAUÍ,Juazeiro do Piauí,17748.00585938,4941,3591.98999023
RIO GRANDE DO NORTE,Upanema,81584.1875,13334,6118.50976562
SÃO PAULO,Cruzeiro,1022254.625,79957,12785.05957031
MINAS GERAIS,Pará de Minas,1348007.875,84264,15997.44042969
BAHIA,Conde,88530.46875,23166,3821.57006836
SÃO PAULO,Sandovalina,224719.375,3387,66347.6171875
SÃO PAULO,Fartura,162512.703125,14969,10856.62011719
ALAGOAS,Teotônio Vilela,186967.0625,41935,4458.5
MINAS GERAIS,São Tiago,69510.375,10645,6529.85986328
SANTA CATARINA,Schroeder,185846.4375,14000,13274.75
MINAS GERAIS,Cruzeiro da Fortaleza,47836.796875,3897,12275.29003906
RIO GRANDE DO SUL,Nova Petrópolis,343135.90625,18631,18417.47070312
RIO GRANDE DO SUL,Viamão,1838203.875,260740,7049.95019531
ALAGOAS,Canapi,53345.25390625,18397,2899.66992188
PARANÁ,Indianópolis,125971.8359375,4258,29584.74023438
SÃO PAULO,Pirassununga,1306196.375,71470,18276.15039062
TOCANTINS,Dueré,69654.3359375,4618,15083.23046875
TOCANTINS,Recursolândia,22405.10351562,3839,5836.18017578
BAHIA,Belmonte,136881.390625,22553,6069.31982422
MINAS GERAIS,Ingaí,33600.8828125,2580,13023.59960938
SÃO PAULO,Lavínia,98269.296875,9445,10404.37011719
RONDÔNIA,Vilhena,1187763.5,69866,17000.58984375
MARANHÃO,Milagres do Maranhão,34294.28515625,7854,4366.47021484
BAHIA,Pojuca,688526.25,32225,21366.2109375
AMAPÁ,Pracuúba,32157.5078125,3658,8791.00976562
SERGIPE,Macambira,29790.82617188,6554,4545.43994141
RIO GRANDE DO SUL,Novo Barreiro,42512.2578125,3989,10657.37011719
SERGIPE,Campo do Brito,83699.1015625,16745,4998.45019531
MINAS GERAIS,Munhoz,53477.828125,6419,8331.1796875
TOCANTINS,Pau D'arco,36173.8828125,4964,7287.24023438
SÃO PAULO,Pedra Bela,52908.13671875,6142,8614.15039062
SÃO PAULO,Botucatu,2317107.75,130348,17776.3203125
PERNAMBUCO,Capoeiras,82538.9375,19936,4140.20019531
MINAS GERAIS,Serranos,15636.30761719,2130,7340.99023438
BAHIA,Banzaê,36750.9375,11157,3293.97998047
SÃO PAULO,Guararema,429408.71875,26974,15919.36035156
PARAÍBA,Brejo dos Santos,23582.4609375,5899,3997.69995117
SÃO PAULO,Flora Rica,31833.52148438,2029,15689.26953125
GOIÁS,São Simão,1256673.375,14373,87432.921875
MINAS GERAIS,Monjolos,19219.6640625,2311,8316.59960938
MARANHÃO,Nina Rodrigues,33562.359375,10527,3188.2199707
SÃO PAULO,Santo Antônio de Posse,314125.59375,21247,14784.46972656
ESPIRITO SANTO,Marilândia,102197.3515625,10676,9572.62988281
RIO GRANDE DO SUL,Pinhal Grande,121017.078125,4581,26417.16992188
RIO GRANDE DO SUL,Nova Santa Rita,387144.1875,22818,16966.609375
BAHIA,Ituberá,132642.828125,24169,5488.14013672
SÃO PAULO,Lucianópolis,27770.9140625,2443,11367.54980469
MARANHÃO,Colinas,132661.1875,36787,3606.19995117
MINAS GERAIS,Quartel Geral,37022.59375,3353,11041.62988281
MATO GROSSO DO SUL,Sidrolândia,568997.6875,41261,13790.20996094
PARAÍBA,Montadas,19880.31054688,4750,4185.33007812
MINAS GERAIS,Goiabeira,18610.78320312,3239,5745.83984375
SÃO PAULO,Santa Bárbara d'Oeste,3115531.0,189573,16434.47070312
PIAUÍ,Landri Sales,27500.9921875,5753,4780.29003906
TOCANTINS,Itapiratins,37919.55078125,3543,10702.66992188
PIAUÍ,Isaías Coelho,25114.17578125,8043,3122.48999023
CEARÁ,Horizonte,1067819.0,54362,19642.75
MATO GROSSO,Nobres,218158.0625,15315,14244.73046875
MINAS GERAIS,Jaboticatubas,94075.4296875,16513,5697.04980469
CEARÁ,Pacajus,464257.5,59689,7777.93994141
MINAS GERAIS,Divinolândia de Minas,31904.875,7023,4542.91015625
MINAS GERAIS,Delfim Moreira,44194.08984375,8047,5492.0
CEARÁ,Ibiapina,129953.6171875,24125,5386.68017578
PARANÁ,Maringá,7284400.5,335511,21711.359375
MINAS GERAIS,São Gonçalo do Rio Preto,16782.6171875,3269,5133.87011719
BAHIA,Eunápolis,1228962.0,99553,12344.79980469
PIAUÍ,Massapê do Piauí,17572.79296875,6672,2633.81005859
ACRE,Tarauacá,258505.0625,33883,7629.33984375
SANTA CATARINA,Guaramirim,1326661.625,31910,41575.109375
PARÁ,São Félix do Xingu,373894.5,67208,5563.24023438
PARANÁ,Colombo,1866142.625,247268,7547.04003906
AMAZONAS,Apuí,146993.34375,18597,7904.14013672
SANTA CATARINA,Presidente Nereu,34406.22265625,2324,14804.74023438
RIO GRANDE DO SUL,Candiota,246858.09375,8576,28784.75976562
MARANHÃO,Belágua,26266.54492188,5953,4412.31982422
PARANÁ,Contenda,147587.84375,15728,9383.75976562
PARANÁ,Nova América da Colina,46741.29296875,3331,14032.20996094
SÃO PAULO,Itirapina,170254.15625,14829,11481.16015625
MINAS GERAIS,Frei Gaspar,35063.94140625,6649,5273.56982422
RONDÔNIA,Alto Alegre dos Parecis,160794.796875,11875,13540.61035156
GOIÁS,Caldas Novas,790987.125,67588,11703.0703125
MINAS GERAIS,Marilac,25136.25195312,4394,5720.58984375
PARAÍBA,Santana dos Garrotes,29104.87109375,7817,3723.2800293
MINAS GERAIS,Funilândia,27009.6640625,3852,7011.85009766
GOIÁS,São Luíz do Norte,51386.2734375,4456,11531.9296875
ESPIRITO SANTO,Jaguaré,330817.40625,23472,14094.12988281
RIO GRANDE DO SUL,Estação,111788.109375,6253,17877.51953125
MATO GROSSO,Campo Verde,1152314.875,28147,40939.171875
RIO GRANDE DO NORTE,Itajá,34752.63671875,6629,5242.52001953
MINAS GERAIS,Três Corações,1344211.5,75776,17739.27929688
RIO GRANDE DO SUL,Lagoa Bonita do Sul,40239.54296875,2759,14584.83007812
ACRE,Mâncio Lima,103294.7421875,14774,6991.66015625
BAHIA,Manoel Vitorino,49992.703125,14138,3536.05004883
SÃO PAULO,Guaraçaí,96547.890625,8657,11152.58007812
PARÁ,Curuçá,106017.2265625,36748,2884.97998047
RIO GRANDE DO SUL,Boa Vista do Incra,73120.8984375,2583,28308.51953125
CEARÁ,Choró,42342.9296875,13439,3150.75
PIAUÍ,Várzea Grande,14614.19238281,4560,3204.87011719
RIO GRANDE DO SUL,Ametista do Sul,53460.91015625,8538,6261.52978516
SÃO PAULO,Luís Antônio,613366.0,11924,51439.62109375
GOIÁS,Santa Fé de Goiás,105659.59375,4882,21642.68945312
MATO GROSSO,Araguaiana,51094.03125,2996,17054.08007812
RIO GRANDE DO SUL,Mata,50877.265625,5386,9446.20996094
PARANÁ,Saudade do Iguaçu,326671.84375,5187,62978.9609375
PARAÍBA,Sapé,242950.71875,47682,5095.22998047
ALAGOAS,Olho D'Água Grande,16447.203125,4963,3313.95996094
TOCANTINS,Araguaína,1582446.875,119637,13227.0703125
PARANÁ,Sertanópolis,281340.8125,16103,17471.33007812
ESPIRITO SANTO,Água Doce do Norte,90734.359375,12091,7504.29003906
MARANHÃO,Matões,80207.625,29386,2729.44995117
SÃO PAULO,São Bernardo do Campo,28935768.0,810979,35680.05078125
RIO GRANDE DO SUL,Porto Alegre,37787912.0,1436123,26312.44921875
RIO GRANDE DO SUL,Ubiretama,35365.5703125,2451,14429.04003906
SANTA CATARINA,Apiúna,226588.625,10996,20606.4609375
ALAGOAS,Branquinha,42036.96875,12215,3441.41992188
RIO GRANDE DO SUL,Ibiaçá,86526.078125,4796,18041.30078125
RIO GRANDE DO SUL,Gaurama,95305.984375,6232,15293.0
MINAS GERAIS,Itaipé,52865.796875,12072,4379.20996094
TOCANTINS,Chapada de Areia,11322.53808594,1273,8894.37011719
SÃO PAULO,Santo Antônio do Aracanguá,191874.171875,7335,26158.72070312
RIO GRANDE DO SUL,São Leopoldo,3302153.0,211663,15600.99023438
PERNAMBUCO,São José do Belmonte,121956.0546875,34118,3574.54003906
MINAS GERAIS,Mendes Pimentel,36886.0078125,6684,5518.54980469
CEARÁ,Deputado Irapuan Pinheiro,33583.828125,9615,3492.86010742
MINAS GERAIS,São João do Manteninha,29055.21289062,5132,5661.58007812
PARAÍBA,Juripiranga,49805.71875,10605,4696.43994141
SÃO PAULO,Tietê,785465.8125,36211,21691.359375
RIO GRANDE DO SUL,Canoas,16444476.0,332056,49523.19921875
BAHIA,Santo Estêvão,264766.96875,46855,5650.77001953
CEARÁ,Croatá,71450.75,18246,3915.9699707
MINAS GERAIS,Arcos,482077.875,36455,13223.91992188
SÃO PAULO,Amparo,1783702.875,65928,27055.3203125
SÃO PAULO,Piracaia,241701.421875,22740,10628.91015625
PARAÍBA,Arara,44775.48046875,12804,3496.98999023
MARANHÃO,Santo Amaro do Maranhão,30778.828125,11693,2632.23999023
MINAS GERAIS,Iraí de Minas,94414.4609375,6605,14294.38964844
PIAUÍ,Itaueira,46700.63671875,10904,4282.89013672
CEARÁ,Lavras da Mangabeira,105865.5078125,30524,3468.27001953
MINAS GERAIS,Mesquita,27821.90820312,6641,4189.41992188
PARANÁ,Congonhinhas,77596.3203125,9035,8588.41015625
RIO GRANDE DO SUL,Três Forquilhas,26717.39453125,3128,8541.37011719
MINAS GERAIS,São José da Varginha,49623.1796875,4070,12192.4296875
MARANHÃO,Miranda do Norte,63276.82421875,18494,3421.47998047
SANTA CATARINA,São José,4193678.75,201746,20786.91992188
MINAS GERAIS,União de Minas,90277.6328125,4735,19066.02929688
PARANÁ,Siqueira Campos,160973.765625,17411,9245.51953125
SÃO PAULO,Indiana,37543.671875,4751,7902.27001953
PARÁ,Anapu,77226.921875,20421,3781.73999023
PARÁ,Ponta de Pedras,76088.96875,26445,2877.25
SANTA CATARINA,São Cristovão do Sul,62822.234375,5087,12349.55957031
BAHIA,Novo Horizonte,37422.05078125,11092,3373.79003906
BAHIA,Dom Macedo Costa,16689.80078125,3951,4224.20019531
SANTA CATARINA,Camboriú,445473.53125,57793,7708.08984375
SANTA CATARINA,Içara,949617.0625,57103,16629.90039062
BAHIA,Ponto Novo,59006.53125,14734,4004.79003906
PARANÁ,Lapa,594210.5625,42933,13840.41992188
RIO GRANDE DO SUL,Barão do Triunfo,70817.5625,7246,9773.33007812
PERNAMBUCO,Belo Jardim,698774.375,74028,9439.33007812
SÃO PAULO,Santo André,14709603.0,673396,21843.91015625
BAHIA,Botuporã,37949.63671875,11048,3434.97998047
MINAS GERAIS,Pedra Dourada,14989.85351562,2241,6688.91015625
MINAS GERAIS,Taquaraçu de Minas,28968.6796875,3950,7333.83984375
PERNAMBUCO,Sairé,61301.90234375,14194,4318.85986328
MINAS GERAIS,Fernandes Tourinho,18352.87109375,2713,6764.79003906
PARANÁ,Diamante D'Oeste,43355.59765625,5129,8453.03027344
BAHIA,Santa Maria da Vitória,183714.421875,41758,4399.5
MINAS GERAIS,Ataléia,84267.8125,15162,5557.83007812
CEARÁ,Viçosa do Ceará,188837.171875,56673,3332.05004883
RIO DE JANEIRO,Seropédica,675776.875,78819,8573.78027344
BAHIA,Paripiranga,130894.5703125,29727,4403.22021484
PARANÁ,Mandaguaçu,201923.65625,19270,10478.65039062
BAHIA,Capela do Alto Alegre,39229.1484375,12824,3059.04003906
PERNAMBUCO,Nazaré da Mata,189960.03125,30185,6293.18994141
SERGIPE,Nossa Senhora das Dores,144145.140625,24747,5824.75
PARAÍBA,Princesa Isabel,84892.03125,20017,4241.0
MINAS GERAIS,Campos Gerais,240981.671875,27964,8617.5703125
PIAUÍ,Pavussu,13861.8671875,4465,3104.56005859
MINAS GERAIS,Perdões,238754.328125,20228,11803.16015625
SÃO PAULO,Conchas,207561.140625,16274,12754.16015625
MINAS GERAIS,Cláudio,260494.40625,25938,10042.95996094
BAHIA,Jandaíra,47592.953125,10018,4750.74023438
SÃO PAULO,Salto,2186612.0,109948,19887.68945312
MINAS GERAIS,Pedralva,80380.046875,11351,7081.31982422
RIO GRANDE DO NORTE,São Vicente,25894.69335938,6023,4299.29980469
TOCANTINS,Silvanópolis,57763.875,5299,10900.90039062
RIO GRANDE DO NORTE,Água Nova,13867.89453125,2952,4697.79980469
SÃO PAULO,Sagres,24909.50976562,2338,10654.20019531
PARANÁ,Cafeara,33636.26953125,2853,11789.79003906
MATO GROSSO,Cuiabá,9816819.0,550562,17830.5390625
PARANÁ,Vera Cruz do Oeste,98085.515625,9257,10595.8203125
PARÁ,Santana do Araguaia,286106.03125,55033,5198.81005859
SÃO PAULO,Matão,5187325.0,78222,66315.421875
GOIÁS,Formosa,746357.25,96284,7751.62011719
MINAS GERAIS,São João do Paraíso,97728.765625,22782,4289.74023438
RIO GRANDE DO SUL,Senador Salgado Filho,45900.67578125,2940,15612.46972656
BAHIA,Piatã,61809.6015625,18470,3346.48999023
PARANÁ,Ibaiti,255210.21875,29441,8668.53027344
PIAUÍ,São João da Varjota,13689.92480469,4965,2757.29003906
BAHIA,Aratuípe,31970.6171875,8822,3623.95996094
CEARÁ,Canindé,307797.0,77552,3968.90991211
PARÁ,Santa Luzia do Pará,58426.12890625,18417,3172.39990234
SANTA CATARINA,Monte Carlo,94318.484375,9144,10314.79003906
MARANHÃO,Anajatuba,78903.5625,25063,3148.20996094
MINAS GERAIS,Delfinópolis,101209.515625,6954,14554.13964844
RIO GRANDE DO NORTE,Apodi,263993.9375,35768,7380.72998047
ESPIRITO SANTO,Pinheiros,390701.78125,23874,16365.16015625
RIO GRANDE DO SUL,Amaral Ferrador,61648.3125,6602,9337.8203125
CEARÁ,Banabuiú,76052.234375,18388,4135.97021484
BAHIA,Antônio Cardoso,52209.5390625,12589,4147.22998047
PARÁ,Floresta do Araguaia,178405.46875,15629,11415.03027344
PIAUÍ,Bonfim do Piauí,16210.26757812,5376,3015.30004883
BAHIA,Coração de Maria,98000.1328125,23774,4122.16015625
MARANHÃO,Matinha,59626.1484375,21204,2812.02001953
BAHIA,Itajuípe,114653.1328125,20490,5595.56982422
SÃO PAULO,Rubinéia,32480.0859375,2611,12439.70996094
MARANHÃO,Pedro do Rosário,61557.19140625,22856,2693.26000977
AMAZONAS,Urucará,69487.6171875,15780,4403.52001953
SÃO PAULO,Flórida Paulista,150708.21875,13761,10951.83984375
RONDÔNIA,Alto Paraíso,179099.90625,17569,10194.08984375
PARAÍBA,Nova Palmeira,18423.50976562,4087,4507.83007812
MINAS GERAIS,Fruta de Leite,28000.19335938,6426,4357.33007812
SÃO PAULO,São José do Rio Preto,7879047.5,419632,18776.08984375
TOCANTINS,Carrasco Bonito,17363.93945312,3428,5065.33007812
MARANHÃO,São Bento,105918.0234375,39312,2694.29003906
PIAUÍ,Piracuruca,95474.390625,26499,3602.93994141
RIO GRANDE DO SUL,Toropi,33232.0625,3138,10590.20019531
GOIÁS,Goiânia,21386530.0,1281975,16682.49023438
MINAS GERAIS,Iturama,561480.75,33231,16896.2890625
PARANÁ,Piraquara,479121.625,87285,5489.16015625
SANTA CATARINA,Benedito Novo,119515.8359375,10335,11564.1796875
PARANÁ,Paula Freitas,82812.2734375,5751,14399.62988281
RONDÔNIA,Cacoal,908886.375,78675,11552.41992188
MARANHÃO,Urbano Santos,72605.1171875,22938,3165.2800293
PARANÁ,Conselheiro Mairinck,31834.11132812,3700,8603.80957031
MATO GROSSO DO SUL,Bela Vista,224436.546875,23726,9459.51953125
SANTA CATARINA,Coronel Freitas,165294.203125,10520,15712.37988281
PARAÍBA,Sossêgo,12804.03125,3089,4145.04003906
BAHIA,Serra Dourada,73857.125,17858,4135.79980469
MINAS GERAIS,Cantagalo,20845.33789062,4132,5044.85009766
RIO GRANDE DO SUL,Tiradentes do Sul,63663.21875,6991,9106.45019531
MATO GROSSO,Juara,638522.3125,33246,19205.99023438
